round,trial,score,vs_left,best_action,win_probability
1,1,17,3,small,0.15761629012918468
1,1,18,0,small,0.06555059478725885
1,1,18,1,small,0.10027682849574385
1,1,18,2,small,0.12578808415609427
1,1,18,3,small,0.15747463465912617
1,1,19,0,small,0.06539719100266703
1,1,19,1,small,0.1001010683662931
1,1,19,2,small,0.12561463595385594
1,1,19,3,small,0.1573089809815357
1,1,20,0,small,0.06522963361685323
1,1,20,1,small,0.09989492352552702
1,1,20,2,small,0.1254053688311496
1,1,20,3,small,0.15710987741566732
1,1,21,0,small,0.06504430237369592
1,1,21,1,small,0.0997026432050937
1,1,21,2,small,0.12523655868089453
1,1,21,3,small,0.15691991220850568
1,1,22,0,small,0.0648381037884277
1,1,22,1,small,0.09952161115127604
1,1,22,2,small,0.12509740975808784
1,1,22,3,small,0.15673613581900725
1,1,23,0,small,0.06460844499616519
1,1,23,1,small,0.09934786211483582
1,1,23,2,small,0.12497493211080177
1,1,23,3,small,0.15655160342359806
1,1,24,0,small,0.06435320409456
1,1,24,1,small,0.09917654141186416
1,1,24,2,small,0.12485498950981869
1,1,24,3,small,0.15635728573006732
1,1,25,0,small,0.07213372671594784
1,1,25,1,small,0.10783584330651975
1,1,25,2,small,0.13173539571621168
1,1,25,3,small,0.15976060601268038
1,1,26,0,small,0.07141821168175136
1,1,26,1,small,0.10682142436139902
1,1,26,2,small,0.13157111891341933
1,1,26,3,small,0.16169478558663875
1,1,27,0,small,0.07044220483133541
1,1,27,1,small,0.10531806729688528
1,1,27,2,small,0.13063731604677756
1,1,27,3,small,0.16253055804139013
1,1,28,0,small,0.06925477137525306
1,1,28,1,small,0.10342539728251895
1,1,28,2,small,0.12912622414539712
1,1,28,3,small,0.1623961238121699
1,1,29,0,small,0.06790509942675198
1,1,29,1,small,0.10124023550716091
1,1,29,2,small,0.12712224002858336
1,1,29,3,small,0.16138901962694635
1,1,30,0,small,0.06644239379928761
1,1,30,1,small,0.09888315355077595
1,1,30,2,small,0.12476868097960318
1,1,30,3,small,0.15968644619061284
1,1,31,0,small,0.06403633944712374
1,1,31,1,small,0.09768061719107093
1,1,31,2,small,0.12333226633818258
1,1,31,3,small,0.15660501993828965
1,1,32,0,small,0.06239813638129084
1,1,32,1,small,0.09810324309441913
1,1,32,2,small,0.12374553078242116
1,1,32,3,small,0.15432247006267016
1,1,33,0,small,0.06275619108925949
1,1,33,1,small,0.09836727638409003
1,1,33,2,small,0.12402373801039852
1,1,33,3,small,0.1547682106848984
1,1,34,0,small,0.06298524452939148
1,1,34,1,small,0.09846828285117451
1,1,34,2,small,0.12414730929028638
1,1,34,3,small,0.15509932691382447
1,1,35,0,small,0.0630878243344332
1,1,35,1,small,0.09840542625589702
1,1,35,2,small,0.12410279245959444
1,1,35,3,small,0.1552771747928644
1,1,36,0,small,0.06306792999811178
1,1,36,1,small,0.09818065385937345
1,1,36,2,small,0.12388205799307206
1,1,36,3,small,0.15527260249682842
1,1,37,0,small,0.06293071831551161
1,1,37,1,small,0.0977981944206687
1,1,37,2,small,0.12348154658240987
1,1,37,3,small,0.15506502818637208
1,1,38,0,small,0.06268222394735837
1,1,38,1,small,0.09726410477803245
1,1,38,2,small,0.12290157099091943
1,1,38,3,small,0.1546415252579562
1,1,39,0,small,0.0623291153108308
1,1,39,1,small,0.09658586577727844
1,1,39,2,small,0.12214567190908927
1,1,39,3,small,0.15399590742972646
1,1,40,0,small,0.06187848590057716
1,1,40,1,small,0.09577202671020615
1,1,40,2,small,0.12122002637702319
1,1,40,3,small,0.1531278060982999
1,1,41,0,small,0.06133767751054986
1,1,41,1,small,0.09585703679642696
1,1,41,2,small,0.12186035567579295
1,1,41,3,small,0.15312060806527178
1,1,42,0,small,0.060714132083063546
1,1,42,1,small,0.0959009700749233
1,1,42,2,small,0.1223144313019535
1,1,42,3,small,0.15306060802903892
1,1,43,0,small,0.06001526915091481
1,1,43,1,small,0.0958728813860313
1,1,43,2,small,0.1225253791650801
1,1,43,3,small,0.1528609555154142
1,1,44,0,small,0.059248386062455846
1,1,44,1,small,0.09575012735243076
1,1,44,2,small,0.12245613749015721
1,1,44,3,small,0.15247093185945323
1,1,45,0,small,0.05842057838910881
1,1,45,1,small,0.09551801757313903
1,1,45,2,small,0.12208721249760136
1,1,45,3,small,0.15185781545208346
1,1,46,0,small,0.057538678110814194
1,1,46,1,small,0.09516947117735712
1,1,46,2,small,0.12140856203268582
1,1,46,3,small,0.15100300211396342
1,1,47,0,small,0.05660920735814148
1,1,47,1,small,0.09470098287352464
1,1,47,2,small,0.12041753006089126
1,1,47,3,small,0.14987216495972708
1,1,48,0,small,0.0556383456610276
1,1,48,1,small,0.09411201865930918
1,1,48,2,small,0.11933936828715833
